E,E^2,E^4,M,M^2,M^4,E_err,M_err
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
